name,profile,kind,cache_key,repo,ref,subpath,platform
eryu-share-studio,core,local,eryu-skills,,,skills/eryu-share-studio,all
eryu-short-video-studio,core,local,eryu-skills,,,skills/eryu-short-video-studio,all
eryu-dynamic-web-publisher,core,local,eryu-skills,,,skills/eryu-dynamic-web-publisher,all
dida-feishu-light-sync,core,local,eryu-skills,,,skills/dida-feishu-light-sync,all
github-kb,core,local,eryu-skills,,,skills/github-kb,all
eryu-task-writeback,core,local,eryu-skills,,,skills/eryu-task-writeback,all
eryu-codex-subagent-router,core,local,eryu-skills,,,skills/eryu-codex-subagent-router,all
frontend-slides,core,git,frontend-slides,https://github.com/zarazhangrui/frontend-slides.git,main,.,all
humanizer-zh,content,git,humanizer-zh,https://github.com/op7418/Humanizer-zh.git,main,.,all
video-note-maker,content,git,video-note-maker,https://github.com/12996/video-note-maker.git,main,.,all
chatgpt-batch-image,content,git,chatgpt-batch-image,https://github.com/sealofyou/chatgpt-batch-image-skill.git,main,.,all
gemini-batch-image,content,git,gemini-batch-image,https://github.com/sealofyou/gemini-batch-image-skill.git,main,.,all
ui-ux-pro-max,design,git,ui-ux-pro-max,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill.git,main,.claude/skills/ui-ux-pro-max,all
project-harness-bootstrap,tools,git,project-harness-bootstrap,https://github.com/sealofyou/project-harness-bootstrap.git,main,.,all
modelscope-deploy,tools,git,modelscope-deploy,https://github.com/sealofyou/modelscope-deploy.git,master,.,all
jianying-editor,media,git,jianying-editor,https://github.com/luoluoluo22/jianying-editor-skill.git,main,.,all
apple-hide-my-email,tools,local,eryu-skills,,,skills/apple-hide-my-email,macos
